,original_text,cleaned_text,true_expert
10,"основные принципы корпоративного управления в российской федерации определены кодексом корпоративного управления, одобренным банком россии (далее – кодекс ку) и рекомендованным к применению акционерными обществами. по результатам проведенной обществом оценки соблюдения рекомендаций кодекса, ку определено, что пао «совкомфлот» соблюдает большинство его рекомендаций.",основной принцип корпоративный управление российский федерация определить кодекс корпоративный управление одобрить банк россия далее кодекс ку рекомендовать применение акционерный общество результат провести общество оценка соблюдение рекомендация кодекс ку определить совкомфлот соблюдать большинство рекомендация,Корпоративное управление
11,"при оценке качества корпоративного управления в компании в качестве лучших практик принимаются рекомендации кку, а также кодекса корпоративного управления великобритании (uk cgc, frc, 2018). уровень фактического исполнения компанией рекомендаций кку ежегодно отражается в соответствующем отчете (отчет о соблюдении принципов и рекомендаций кодекса корпоративного управления, далее — отчет о соблюдении принципов кку), который рассматривается комитетом по аудиту совета директоров, утверждается советом директоров и является приложением к настоящему отчету.",оценка качество корпоративный управление компания качество хороший практика приниматься рекомендация кку также кодекс корпоративный управление великобритания uk cgc frc 2018 уровень фактический исполнение компания рекомендация кку ежегодно отражаться соответствовать отчёт отчёт соблюдение принцип рекомендация кодекс корпоративный управление далее отчёт соблюдение принцип кку который рассматриваться комитет аудит совет директор утверждаться совет директор являться приложение настоящий отчёт,Корпоративное управление
12,"в феврале 2023 года комитет по аудиту совета директоров рассмотрел результаты выполнения плана улучшений в течение 2022 года, проанализировал динамику степени соблюдения принципов кку, а также динамику оценки качества объяснений причин несоблюдения или неполного соблюдения. по итогам рассмотрения вопроса об оценке качества корпоративного управления совет директоров утвердил отчет о соблюдении принципов кку за 2022 год, оценив уровень исполнения рекомендаций кку как высокий.",февраль 2023 год комитет аудит совет директор рассмотреть результат выполнение план улучшение течение 2022 год проанализировать динамика степень соблюдение принцип кку также динамика оценка качество объяснение причина несоблюдение неполный соблюдение итог рассмотрение вопрос оценка качество корпоративный управление совет директор утвердить отчёт соблюдение принцип кку 2022 год оценить уровень исполнение рекомендация кку высокий,Корпоративное управление
13,"кроме того, совет положительно оценил результаты выполнения плана улучшений практик корпоративного управления на 2022 год, а также утвердил план улучшений на 2023 год.",кроме совет положительно оценить результат выполнение план улучшение практика корпоративный управление 2022 год также утвердить план улучшение 2023 год,Корпоративное управление
14,"совет директоров осуществляет общее руководство деятельностью компании, за исключением решения вопросов, отнесенных уставом и законодательством российской федерации к компетенции общего собрания акционеров. порядок работы совета директоров определяется положением о совете директоров, утвержденным общим собранием акционеров.",совет директор осуществлять общий руководство деятельность компания исключение решение вопрос отнести устав законодательство российский федерация компетенция общий собрание акционер порядок работа совет директор определяться положение совет директор утвердить общий собрание акционер,Корпоративное управление
15,"основной задачей комитета является предварительное рассмотрение вопросов, отнесенных к компетенции совета директоров, и выработка для него рекомендаций по вопросам:  стратегического планирования и развития пао «группа ренессанс страхование» и компаний группы, разработки и определения приоритетных направлений деятельности общества и компаний группы;  осуществления существенных корпоративных действий: реорганизации общества и компаний группы, выпуска ценных бумаг, приобретения 30 и более процентов голосующих акций общества, увеличения или уменьшения уставного капитала общества, проведения листинга или делистинга ценных бумаг, приобретения публичного статуса и участия общества в иных организациях;  иным стратегическим вопросам в рамках стратегии развития общества и компаний группы, не предусмотренным положением о комитете, по поручению совета директоров. в течение 2022 года заседаний комитета не проводилось. правление общества является коллегиальным исполнительным органом общества. в течение 2022 года компетенция и порядок осуществления деятельности правления общества определялись уставом общества, а также положением о правлении общества. в 2022 году было созвано четыре заседания правления, в том числе по следующим вопросам:  утверждение внутренних документов общества;  изменение состава комитета по рискам общества;  утверждение лимитов собственного удержания общества;  рассмотрение отчета о результатах реализации правил внутреннего контроля общества в целях противодействия легализации (отмыванию) доходов, полученных преступным путем, финансированию терроризма и финансированию распространения оружия массового уничтожения в 2021 году; избрание секретаря правления общества;  изменение адресов филиалов общества в г. владимире и г. туле и утверждение положений о филиалах в новой редакции;  предварительное утверждение годового отчета общества и годовой бухгалтерской (финансовой) отчетности общества за 2021 год.",основной задача комитет являться предварительный рассмотрение вопрос отнести компетенция совет директор выработка рекомендация вопрос стратегический планирование развитие группа ренессанс страхование компания группа разработка определение приоритетный направление деятельность общество компания группа осуществление существенный корпоративный действие реорганизация общество компания группа выпуск ценный бумага приобретение 30 процент голосовать акция общество увеличение уменьшение уставный капитал общество проведение листинг делистинг ценный бумага приобретение публичный статус участие общество иной организация иной стратегический вопрос рамка стратегия развитие общество компания группа предусмотренный положение комитет поручение совет директор течение 2022 год заседание комитет проводиться правление общество являться коллегиальный исполнительный орган общество течение 2022 год компетенция порядок осуществление деятельность правление общество определяться устав общество также положение правление общество 2022 год созвать четыре заседание правление число следующий вопрос утверждение внутренний документ общество изменение состав комитет риск общество утверждение лимит собственный удержание общество рассмотрение отчёт результат реализация правило внутренний контроль общество цель противодействие легализация отмывание доход получить преступный путём финансирование терроризм финансирование распространение оружие массовый уничтожение 2021 год избрание секретарь правление общество изменение адрес филиал общество г. владимир г. тула утверждение положение филиал новый редакция предварительный утверждение годовой отчёт общество годовой бухгалтерский финансовый отчётность общество 2021 год,Корпоративное управление
16,генеральный директор является единоличным исполнительным органом общества и осуществляет текущее руководство деятельностью общества. компетенция и порядок осуществления деятельности генерального директора общества и принятия им решений определены уставом общества и трудовым договором.,генеральный директор являться единоличный исполнительный орган общество осуществлять текущий руководство деятельность общество компетенция порядок осуществление деятельность генеральный директор общество принятие решение определить устав общество трудовой договор,Корпоративное управление
17,"генеральным директором общества в 2022 году являлась гадлиба юлия олеговна, избранная в соответствии с решением общего собрания участников ооо «группа ренессанс страхование» от 19.01.2018; на основании решения совета директоров пао «группа ренессанс страхование» от 31.10.2022 срок полномочий продлен на период с 22 ноября 2022 года по 21 ноября 2025 года.",генеральный директор общество 2022 год являться гадлиб юлия олегович избранный соответствие решение общий собрание участник группа ренессанс страхование 19.01.2018 основание решение совет директор группа ренессанс страхование 31.10.2022 срок полномочие продлить период 22 ноябрь 2022 год 21 ноябрь 2025 год,Корпоративное управление
18,на дату выпуска настоящего отчета в состав совета директоров компании входят один исполнительный директор и семь директоров без исполнительных полномочий. шесть членов совета директоров являются независимыми директорами без исполнительных полномочий.,дата выпуск настоящий отчёт состав совет директор компания входить исполнительный директор семь директор исполнительный полномочие шесть член совет директор являться независимый директор исполнительный полномочие,Корпоративное управление
19,"корпоративное управление компании предусматривает защиту от конфликта интересов, включая полную независимость комитета по аудиту и рискам, комитета по назначениям и комитета по вознаграждениям, раскрытие в финансовой отчетности любых сделок со связанными сторонами, а также предотвращение единоличных полномочий при принятии решений.",корпоративный управление компания предусматривать защита конфликт интерес включая полный независимость комитет аудит риск комитет назначение комитет вознаграждение раскрытие финансовый отчётность любой сделка связанный сторона также предотвращение единоличный полномочие принятие решение,Корпоративное управление
20,"совет определил, что евгений коноваленко, жанат бердалина, пол остлинг, стивен дашевский, паскаль жанин перес и ричард шарко являются независимыми директорами без исполнительных полномочий. в настоящий момент председатель совета директоров компании не назначен.",совет определить евгений коноваленко жанат бердалин пол остлинга стивен дашевский паскаль жанин перес ричард шарко являться независимый директор исполнительный полномочие настоящий момент председатель совет директор компания назначить,Корпоративное управление
21,"компания считает, что в совете директоров и его комитетах существует надлежащий баланс квалификаций, опыта, независимости и знаний о компании, позволяющий их членам эффективно исполнять обязанности. все директора могут пользоваться консультациями и услугами корпоративного секретаря и в случае необходимости получать независимые профессиональные консультации за счет компании.",компания считать совет директор комитет существовать надлежащий баланс квалификация опыт независимость знание компания позволять член эффективно исполнять обязанность директор мочь пользоваться консультация услуга корпоративный секретарь случай необходимость получать независимый профессиональный консультация счёт компания,Корпоративное управление
22,"следование обществом принципам и приоритетам корпоративного управления во всех сферах деятельности позволяет обеспечить достижение поставленных целей корпоративного управления, прежде всего — рост акционерной стоимости и инвестиционной привлекательности общества и группы «россети» в целом. общество осуществляет систематическую оценку корпоративного управления с представлением ее результатов на рассмотрение совета директоров (профильного комитета).",следование общество принцип приоритет корпоративный управление сфера деятельность позволять обеспечить достижение поставить цель корпоративный управление прежде рост акционерный стоимость инвестиционный привлекательность общество группа россеть целое общество осуществлять систематический оценка корпоративный управление представление результат рассмотрение совет директор профильный комитет,Корпоративное управление
