,text,topic,original_text
20,источник выброс загрязнять вещество основное являться двигатель производственный агрегат оборудование снижение выброс вредный вещество атмосфера строго соблюдать правило экономичный регламентный работа транспортный средство оборудование прочий установка группа использоваться сорт дизельный топливо бензин удовлетворять требование самый строгий стандарт технический условие также оптимизироваться маршрут передвижение судно,Воздух,"источниками выбросов загрязняющих веществ в основном являются дизель-генераторы, двигатели, производственные агрегаты и оборудование. для снижения выбросов вредных веществ в атмосферу мы строго соблюдаем правила экономичной и регламентной работы дизель-генераторов, транспортных средств, оборудования и прочих установок. в группе используются сорта дизельного топлива и бензина, удовлетворяющие требованиям самых строгих стандартов и технических условий, а также оптимизируются маршруты передвижения судов."
21,основный составлять выброс атмосфера являться оксид углерод сера азот образоваться сгорание судовой топливо судовой энергетический установка снижение выброс диоксид углерод оксид азот обусловить общий снижение потребление топливо 2021 год,Воздух,"основными составляющими выбросов в атмосферу являются оксиды углерода, серы и азота, образующиеся при сгорании судового топлива в судовых энергетических установках. снижение выбросов диоксида углерода и оксидов азота обусловлено общим снижением потребления топлива в 2021 году."
22,"существенный снижение выброс оксид сера начинать 2020 год являться результат переход 1 январь 2020 год низкосернистый судовой топливо содержание сера 0,5 масса группа скф пополнять флот энергоэффективный экологически безопасный суд новый поколение строительство который широко использоваться инновационный технология разрабатывать каждый судный план повышение энергоэффективность seemp ship energy efficiency management plan цель контроль выброс вредный вещество отработать газ также выполнять директива совет европейский союз 2012/33/ес сокращение содержание сера некоторый вид жидкий топливо использовать судовой топливо понизить содержание сера",Воздух,"существенное снижение выбросов оксидов серы начиная с 2020 года является результатом перехода с 1 января 2020 года на низкосернистое судовое топливо с содержанием серы не более 0,5 % по массе. группа скф пополняет флот энергоэффективными и экологически безопасными судами нового поколения, при строительстве которых широко используются инновационные технологии, разрабатывает для каждого судна планы повышения энергоэффективности (seemp, ship energy efficiency management plan) в целях контроля выбросов вредных веществ с отработавшими газами, а также выполняет директиву совета европейского союза № 2012/33/ес «о сокращении содержания серы в некоторых видах жидкого топлива», используя судовое топливо с пониженным содержанием серы."
23,группа разработать поддерживаться процесс управление выброс атмосферный воздух включать оценка намечать деятельность взаимодействие это вопрос широкий кругом заинтересованный сторона мониторинг отчётность отношение выброс загрязнять вещество атмосферный воздух эффективный сокращение воздействие компания реализоваться комплексный программа перевооружение производство снижение выброс загрязнять вещество,Воздух,"в группе «фосагро»разработан и поддерживается процесс управления выбросами в атмосферный воздух, включающий в себя оценку намечаемой деятельности, взаимодействие по этим вопросам с широким кругом заинтересованных сторон, мониторинг и отчетность в отношении выбросов загрязняющих веществ в атмосферный воздух. для эффективного сокращения воздействия в компании реализуется комплексная программа перевооружения производств и снижения выбросов загрязняющих веществ."
24,компания являться участник федеральный проект чистый воздух призвать кардинально снизить уровень загрязнение атмосферный воздух крупный промышленный центр россия рамка проект компания реализовать целый ряд мероприятие который позволить сократить выброс загрязнять вещество 20 2022 год относительно уровень 2017 год ежегодный рост производство продукция ввод эксплуатация новый мощность,Воздух,"компания является участником федерального проекта «чистый воздух», призванного кардинально снизить уровень загрязнения атмосферного воздуха в крупных промышленных центрах россии. в рамках проекта компания реализовала целый ряд мероприятий, которые позволили сократить выбросы загрязняющих веществ на 20% в 2022 году относительно уровня 2017 года при ежегодном росте производства продукции и вводе в эксплуатацию новых мощностей."
25,волховский филиал апатит 2021–2022 год основной мероприятие направить снижение негативный воздействие окружающий среда целое атмосферный воздух частность реализовать рамка инвестпроект развитие волховский площадка технический решение снижение показатель удельный выброс снижение концентрация загрязнять вещество граница жилой зона предусмотреть строительство новый производство реконструкция действовать существенный снижение показатель удельный выброс подтверждать эффективность такой подход,Воздух,"в волховском филиале ао «апатит» в 2021–2022 годах основные мероприятия, направленные на снижение негативного воздействия на окружающую среду в целом и на атмосферный воздух в частности, реализованы в рамках инвестпроекта развития волховской площадки: технические решения по снижению показателей удельных выбросов и снижению концентраций загрязняющих веществ на границах санитарно-защитной и жилой зон были предусмотрены уже при строительстве новых производств и реконструкции действующих. существенное снижение показателя удельного выброса подтверждает эффективность такого подхода."
26,сила характеристика производственный процесс производить значительный выброс загрязнять вещество атмосфера выброс компания превышать установленный законодательство российский федерация норматив источник выброс охватить система мониторинг который включать инструментальный расчётный метод снижение объём выброс компания использовать современный высокоэффективный система газоочистка который функционировать производственный объект,Воздух,"в силу характеристик производственного процесса уралкалий не производит значительные выбросы загрязняющих веществ в атмосферу, выбросы компании не превышают установленные законодательством российской федерации нормативы. все источники выбросов охвачены системой мониторинга, которая включает инструментальный и расчетный методы. для снижения объема выбросов компания использует современные высокоэффективные системы газоочистки, которые функционируют на всех производственных объектах."
27,компания установить цель снизить выброс диоксид сера so2 атмосфера 25 2025 год сравнение базовый 2020 год рамка действие достижение цель запланировать полный замена мазутный печь современный сушильный установка использовать качество топливо природный газ 2022 год вывести эксплуатация печь начать работа замена аналогичный мероприятие запланировать печь также 2023 год,Воздух,"в компании установлена цель — снизить выбросы диоксида серы (so2) в атмосферу на 25% к 2025 году по сравнению с базовым 2020 годом. в рамках действий по достижению этой цели запланирована полная замена мазутных печей на более современные сушильные установки, использующие в качестве топлива природный газ. в 2022 году была выведена из эксплуатации печь тс-4 на бкпру-3 и начаты работы по ее замене. аналогичные мероприятия запланированы по печи тс-6 также на бкпру-3 на 2023 год."
28,"наиболее значимый структура выброс загрязнять вещество россеть являться летучий органический соединение общий масса который 2022 год составить 48,8 тонна треть выброс атмосфера представить оксид углерод масса который отчётный период составить 42,9 тонна",Воздух,"наиболее значимыми в структуре выбросов загрязняющих веществ пао «россети» являются летучие органические соединения, общая масса которых в 2022 году составила 48,8 тонны. треть выбросов в атмосферу представлена оксидом углерода, масса которого в отчетном периоде составила 42,9 тонны. "
29,"компания достигнуть 100 -ный соответствие состав моторный топливо экологический стандарт экологический класс 5 2012 год продукт сгорание новый сорт топливо содержаться маленький сера выпускаться инновационный продукт морской судоходство авиация промышленный компания являться один крупный поставщик бункеровочный топливо россия также порт болгария румыния топливо судовой экологический содержание сера 0,1 соответствовать требование marpol2 отношение содержание загрязнять вещество выброс продукт сгорание атмосфера зона seca3 также акватория европейский союз 2014 год продукт реализоваться акватория балтийский море",Экологичность продукта,"компания достигла 100%-ного соответствия состава моторных топлив экологическому стандарту евро- 5 (экологический класс 5) еще в 2012 году. в продуктах сгорания новых сортов топлива содержится меньше серы. выпускаются инновационные продукты для морского судоходства, авиации и промышленных компаний. лукойл является одним из крупнейших поставщиков бункеровочного топлива в россии, а также в портах болгарии и румынии. топливо судовое экологическое с содержанием серы 0,1% соответствует требованиям marpol2 в отношении содержания загрязняющих веществ в выбросах продуктов сгорания в атмосферу в зонах seca3, а также в акваториях европейского союза. с 2014 года продукт реализуется в акватории балтийского моря."
30,бренд allow алюминий низкий углеродный следом rusal выпускать алюминий бренд allow 2017 год производство использоваться возобновлять энергия произвести гидроэлектростанция этот технология позволять снизить углеродный след 4–5 сравнение алюминий производство который качество топливо использоваться уголь производить бренд allow алюминий помогать клиент сократить углеродный след собственный продукция обеспечение полный соответствие экологический требование пример 2022 год компания арнест производить средство защита насекомое mosquitall заключить контракт поставка алюминий allow производство упаковка продукция результат удаться сократить углеродный след готовый продукт раз,Экологичность продукта,"бренд allow – алюминий с низким углеродным следом rusal выпускает алюминий под брендом allow с 2017 года. при его производстве используется возобновляемая энергия, произведенная гидроэлектростанциями. эта технология позволяет снизить углеродный след в 4–5 раз по сравнению с алюминием, при производстве которого в качестве топлива используется уголь. производимый под брендом allow алюминий помогает клиентам сократить углеродный след собственной продукции для обеспечения более полного ее соответствия экологическим требованиям. к примеру, в 2022 году компания «арнест», производящая средства для защиты от насекомых mosquitall, заключила контракт на поставку алюминия allow для производства упаковки продукции. в результате удалось сократить углеродный след готового продукта почти в два раза."
31,точка зрение компания продукция низкий углегодный следом шаг экономика будущее потребитель смочь выбирать продукция который помогать достижение цель декарбонизация 2050 год создавать инклюзивный справедливый модель взаимодействие участник цепочка создание стоимость производство продукция применяться первичный вторичный ресурс,Экологичность продукта,"с точки зрения компании, продукция с низким углегодным следом — еще один шаг к экономике будущего. потребители смогут выбирать продукцию, которая не только помогает в достижении целей декарбонизации к 2050 году, но и создает инклюзивную и справедливую модель взаимодействия участников цепочки создания стоимости. при производстве такой продукции применяются и первичные, и вторичные ресурсы."
32,выпуск соответствовать международный стандарт icma требование банк россия московский биржа подтверждать независимый верификация провести аналитический кредитный рейтинговый агентство акр московский биржа квалифицировать выпуск включение сектор устойчивый развитие соответствие требование организация выпуск разработать закреплять подход сбер относительно целевой использование средство критерий порядок отбор зелёный проект управление реестр выпустить зелёный облигация отчётность внешний оценка соответствие концепция рамка ежегодный нефинансовый отчётность сбер публиковать отчёт размещение средство,Экологичность продукта,"выпуск соответствует международным стандартам icma и требованиям банка россии и московской биржи, что подтверждает независимая верификация, проведенная аналитическим кредитным рейтинговым агентством (акра). московская биржа квалифицировала выпуск для включения в сектор устойчивого развития. в соответствии с требованиями для организации выпуска была разработана закрепляющая подходы сбера относительно целевого использования средств, критериев и порядка отбора зеленых проектов, управления реестром выпущенных зеленых облигаций, отчетности и внешней оценки. в соответствии с концепцией в рамках ежегодной нефинансовой отчетности сбер публикует отчет о размещении средств."
33,выпуск соответствовать международный стандарт icma требование банк россия московский биржа подтверждать независимый верификация провести аналитический кредитный рейтинговый агентство акр московский биржа квалифицировать выпуск включение сектор устойчивый развитие соответствие требование организация выпуск разработать закреплять подход сбер относительно целевой использование средство критерий порядок отбор зелёный проект управление реестр выпустить зелёный облигация отчётность внешний оценка соответствие концепция рамка ежегодный нефинансовый отчётность сбер публиковать отчёт размещение средство,Экологичность продукта,"выпуск соответствует международным стандартам icma и требованиям банка россии и московской биржи, что подтверждает независимая верификация, проведенная аналитическим кредитным рейтинговым агентством (акра). московская биржа квалифицировала выпуск для включения в сектор устойчивого развития. в соответствии с требованиями для организации выпуска была разработана закрепляющая подходы сбера относительно целевого использования средств, критериев и порядка отбора зеленых проектов, управления реестром выпущенных зеленых облигаций, отчетности и внешней оценки. в соответствии с концепцией в рамках ежегодной нефинансовой отчетности сбер публикует отчет о размещении средств."
34,2022 год продукция компания первый российский отрасль минеральный удобрение удостоить высокий оценка один важный сельскохозяйственный рынок мир бразилия получить знак качество окружающий среда рамка взаимный признание экомаркировка бразильский эксперт исследовать жизненный цикл продукция компания уделить особый внимание соблюдение установленный бразильский стандарт требование производство хранение транспортировка удобрение бразильский стандарт установить жёсткий ограничение мышьяк тяжёлый металл минеральный удобрение группа полностью отвечать указать требование,Экологичность продукта,"в 2022 году продукция компании первой в российской отрасли минеральных удобрений была удостоена высокой оценки на одном из важных сельскохозяйственных рынков мира — в бразилии — и получила «знак качества окружающей среды». в рамках взаимного признания экомаркировки бразильские эксперты исследовали жизненный цикл продукции компании, уделив особое внимание соблюдению установленных бразильским стандартом требований к производству, хранению и транспортировке удобрений. в бразильском стандарте установлены жесткие ограничения по мышьяку и тяжелым металлам, и минеральные удобрения группы «фосагро» полностью отвечают указанным требованиям."
35,бензин экологический класс 5 самый экологичный вид топливо использование содержание окись сера углерод азотистый соединение выхлопной газ автомобиль значительно снижаться топливо также обладать рядом другой преимущество позволять увеличить динамика разгон автомобиль 9 снизить уровень вибрация шум низкий содержание сера бензол уменьшать образование нагар деталь двигатель эффективность -к5 подтвердить результат комплексный испытание,Экологичность продукта,"бензин аи-100 экологического класса 5 – один из самых экологичных видов топлива: при его использовании содержание окиси серы, углерода и азотистых соединений в выхлопных газах автомобиля значительно снижается. топливо также обладает рядом других преимуществ: позволяет увеличить динамику разгона автомобиля до 9 %, снизить уровень вибрации и шума, а низкое содержание серы и бензола уменьшает образование нагара на деталях двигателя. эффективность аи-100-к5 была подтверждена результатами комплексных испытаний."
36,направление работа область сохранение биоразнообразие применение современный технологический решение позволять минимизировать влияние производственный деятельность природа непрерывный экологический мониторинг разработка выполнение программа сохранение биоразнообразие зона ответственность компания группа другой регион россия,Биоразнообразие,"направления работы в области сохранения биоразнообразия: • применение современных технологических решений, позволяющих минимизировать влияние производственной деятельности на природу; непрерывный экологический мониторинг; • разработка и выполнение программ по сохранению биоразнообразия как в зоне ответственности компаний группы, так и в других регионах россии."
37,подсчёт общий количество вид животное занести красный книга международный союз охрана природа национальный список охранять вид местообитание который затрагиваться деятельность газпром вестись большой размер территория который осуществлять деятельность группа,Биоразнообразие,"подсчет общего количества видов животных, занесенных в красную книгу международного союза охраны природы и национальный список охраняемых видов, местообитания которых затрагиваются деятельностью газпрома, не ведется из-за большого размера территорий, на которых осуществляет деятельность группа."
38,компания стремиться реализовывать мероприятие охрана представитель дикий природа редкий уязвимый вид допускать фрагментация деградация экосистема принцип предосторожность отношение компонент биоразнообразие реализоваться счёт программа комплексный экологический мониторинг расширить географический охват тематический содержание ежегодный мониторинг биоразнообразие являться один наиболее эффективный способ оценка состояние наземный пресноводный морской экосистема место производственный деятельность новатэк,Биоразнообразие,"компания стремится реализовывать мероприятия по охране представителей дикой природы, редких и уязвимых видов и не допускать фрагментации и (или) деградации экосистем. принцип предосторожности в отношении компонентов биоразнообразия реализуется за счет программ комплексного экологического мониторинга, расширенных по географическому охвату и тематическому содержанию. ежегодный мониторинг биоразнообразия является одним из наиболее эффективных способов оценки состояния наземных, пресноводных и морских экосистем в местах производственной деятельности «новатэка»."
39,стремиться осуществлять деятельность добыча переработка природный ресурс особо охранять природный территория федеральный значение также избегать проведение работа место обитание ценный особо охранять вид растение животное компания регулярно отслеживать состояние вид представитель животное мир красный список международный союз охрана природа мсопа местообитание который находиться территория находиться воздействие компания общий число подобный вид зафиксировать отчётный год составить 110. среди абсолютный большинство приходиться вид вызывающий малый опасение,Биоразнообразие,"«новатэк» стремится не осуществлять деятельность по добыче и переработке природных ресурсов на особо охраняемых природных территориях федерального значения, а также избегать проведения работ в местах обитания ценных и особо охраняемых видов растений и животных. компания регулярно отслеживает состояние видов представителей животного мира из красного списка международного союза охраны природы (мсоп), местообитания которых находятся на территориях, находящихся под воздействием компании. общее число подобных видов, зафиксированных в отчетном году, составило более 110. среди них абсолютное большинство приходится на виды, вызывающие наименьшие опасения."
40,проведение овосс часть биоразнообразие оцениваться прямой косвенный риск также кумулятивный воздействие компонент биоразнообразие особый внимание уделяться такой вопрос деградация естественный экосистема привнесение инвазивный чужеродный вид чрезмерный эксплуатация природный ресурс мнение местный сообщество непосредственно затрагивать деятельность проект эн+ осуществлять деятельность охранять зона зона высокий ценность биоразнообразие предел охранять зона случай оказание косвенный воздействие компания осуществлять тщательный мониторинг полный понимание влияние свой деятельность окружающий среда,Биоразнообразие,"при проведении овосс в части биоразнообразия оцениваются прямые и косвенные риски, а также кумулятивное воздействие на компоненты биоразнообразия. особое внимание уделяется таким вопросам, как деградация естественных экосистем, привнесение инвазивных и чужеродных видов, чрезмерная эксплуатация природных ресурсов и мнение местных сообществ, непосредственно затрагиваемых деятельностью проектов. эн+ не осуществляет деятельность в охраняемых зонах или в зонах с высокой ценностью биоразнообразия за пределами охраняемых зон. в случае оказания косвенного воздействия компания осуществляет тщательный мониторинг для полного понимания влияния своей деятельности на окружающую среду."
41,эн+ принимать активный участие международный инициатива вносить свой вклад разработка международный стандарт - группа являться член рабочий группа вопрос предпринимательство сохранение биологический разнообразие министерство природный ресурс экология российский федерация - предприятие группа также участвовать деятельность рабочий группа asi биоразнообразие экосистемный услуга сотрудничество международный союз охрана природа природный ресурс мсопа международный организация fauna flora international ffi фонд chimbo - эн+ также вовлечь разработка научно обоснованный цель охрана природа sbtn,Биоразнообразие,"эн+ принимает активное участие в международных инициативах и вносит свой вклад в разработку международных стандартов: - группа является членом рабочей группы по вопросам предпринимательства и сохранению биологического разнообразия при министерстве природных ресурсов и экологии российской федерации; - предприятия группы также участвуют в деятельности рабочей группы asi по биоразнообразию и экосистемным услугам в сотрудничестве с международным союзом охраны природы и природных ресурсов (мсоп), международной организацией fauna & flora international (ffi) и фондом chimbo; - эн+ также вовлечена в разработку научно обоснованных целей для охраны природы (sbtn)."
42,металлургический сегмент действовать положение первоначальный оценка риск существенность воздействие биоразнообразие существующий предприятие который компания ориентироваться осуществление свой деятельность сохранение биоразнообразие соответствие политика русало сохранение биоразнообразие риск сохранение биоразнообразие существовать такой сфера использование природный ресурс преобразование среда обитание интродукция чужеродный вид случай выявление значительный риск компания принимать мера предотвращение минимизация реализация компенсационный мера,Биоразнообразие,"в металлургическом сегменте действует положение о первоначальной оценке рисков и существенности воздействия на биоразнообразие для существующих предприятий, на которое компания ориентируется при осуществлении своей деятельности по сохранению биоразнообразия. в соответствии с политикой русала по сохранению биоразнообразия риски сохранения биоразнообразия существуют в таких сферах, как использование природных ресурсов, преобразование среды обитания и интродукция чужеродных видов. в случае выявления значительного риска компания принимает меры по его предотвращению, минимизации или реализации компенсационных мер."
43,segezha group внимательно относиться сохранение биоразнообразие результат деятельность компания происходить трансформация местообитание животное среди который вид занести красный книга северный олень косуля беркут сапсан филин другой животное выработка режим охрана каждый арендовать территория происходить привлечение заинтересованный сторона segezha group постоянно вести учёт лесной территория который встречаться редкий экосистема процесс лесозаготовка специалист выявлять локальный ценный экосистема каждый делянка сохранять кроме компания осуществлять ежегодный мониторинг лес высокий природоохранный ценность итог который принимать решение достаточность мера охрана,Биоразнообразие,"segezha group внимательно относится к сохранению биоразнообразия, так как в результате деятельности компании происходит трансформация местообитания животных, среди которых есть виды, занесенные в красную книгу: северный олень, косуля, орлан-белохвост, беркут, сапсан, филин и другие животные. выработка режима охраны для каждой арендованной территории происходит с привлечением заинтересованных сторон. segezha group постоянно ведет учет лесных территорий, на которых встречаются редкие экосистемы. в процессе лесозаготовок специалисты выявляют локальные ценные экосистемы на каждой делянке и сохраняют их. кроме того, компания осуществляет ежегодный мониторинг лесов высокой природоохранной ценности, по итогам которого принимает решение о достаточности мер охраны."
